SupplierID,SupplierName,ContactPerson,Email,Phone,City,State,Country,SupplierRating,LeadTimeDays,Status,CreatedDate
SUP000018,Happy Kids,Joe Turner,contact18@happykids.com,5665107642,Peterton,Maryland,India,3.9,11,Active,2025-03-14
SUP000019,Play Nation,Mrs. Michelle Hernandez DVM,contact19@playnation.com,5163194459,Carterfurt,Virginia,India,3.7,14,Active,2026-01-19
SUP000020,Kitchen World,Eric Williams,contact20@kitchenworld.com,5785565819,Mooreville,New York,India,4.8,10,Active,2025-10-19
SUP000021,Glow Essentials,Jessica Jones,contact21@glowessentials.com,1412156134,Lake Kyle,Iowa,India,4.4,20,Active,2026-05-16
SUP000022,Modern Home,Lisa King,contact22@modernhome.com,7243145743,New Gregory,Ohio,India,4.6,11,Active,2025-09-16
SUP000023,Toy Universe,Laura Taylor,contact23@toyuniverse.com,0165241928,Apriltown,South Dakota,India,4.5,13,Active,2026-04-06
SUP000024,DriveTech,Angelica Richards,contact24@drivetech.com,5851023672,New Alex,Nebraska,India,3.7,8,Active,2026-01-23
SUP000025,Urban Furnish,Joanna Ramirez,contact25@urbanfurnish.com,3083784318,East Christopher,Nevada,India,3.9,9,Active,2026-04-17
SUP000026,Learning Point,George Bird,contact26@learningpoint.com,4968114843,Meganton,Delaware,India,4.8,6,Active,2023-07-21
SUP000027,Urban Furnish,Amber Allen,contact27@urbanfurnish.com,6911131417,Port Jesus,Indiana,India,4.2,20,Active,2025-12-10
SUP000028,Champion Gear,Todd Thompson,contact28@championgear.com,0712183943,Sarahberg,West Virginia,India,4.9,13,Inactive,2024-12-23
SUP000029,Digital Edge,Paige Garcia,contact29@digitaledge.com,8252067807,West Joshua,South Dakota,India,5.0,10,Active,2025-09-02
SUP000030,Urban Furnish,Brooke Taylor,contact30@urbanfurnish.com,3240956113,Howardburgh,New Hampshire,India,3.8,9,Active,2024-10-04
SUP000031,Future Devices,William Taylor,contact31@futuredevices.com,5807607754,Port Natalieshire,Kentucky,India,4.7,16,Active,2025-05-15
SUP000032,Active World,Eric Martin,contact32@activeworld.com,9601783147,New Erintown,Massachusetts,India,4.8,15,Active,2024-02-06
SUP000033,Fashion Hub,Joseph Dickerson,contact33@fashionhub.com,9885344231,Port Paula,Iowa,India,3.5,8,Inactive,2025-05-02
SUP000034,Fresh Harvest,Scott Anderson,contact34@freshharvest.com,4228769105,West Reginabury,Montana,India,4.6,18,Active,2025-08-16
SUP000035,Learning Point,Heather Williams,contact35@learningpoint.com,4136695538,South David,South Carolina,India,4.4,17,Active,2026-04-15
SUP000036,Fresh Harvest,Mrs. Heather Clay,contact36@freshharvest.com,4139101692,North Christine,South Carolina,India,3.6,9,Active,2024-05-27
SUP000037,Auto Solutions,Anthony Lane,contact37@autosolutions.com,9142690829,Faithberg,Delaware,India,3.6,17,Inactive,2025-07-30
SUP000038,Future Devices,Ryan Anderson,contact38@futuredevices.com,2525770671,East Janefurt,Oklahoma,India,4.1,19,Active,2024-08-22
SUP000039,Daily Essentials,Stanley Morris,contact39@dailyessentials.com,2310677910,Lake Patricia,Vermont,India,3.6,17,Active,2023-08-12
SUP000040,Knowledge House,Mason Long,contact40@knowledgehouse.com,0513447629,Chadhaven,Kansas,India,4.5,17,Active,2025-04-16
SUP000041,Play Nation,Jacqueline Peterson,contact41@playnation.com,8070616004,Timothytown,New Mexico,India,4.1,13,Active,2024-11-15
SUP000042,Pure Cosmetics,Jennifer Patton,contact42@purecosmetics.com,3524359361,Ricemouth,Delaware,India,4.5,9,Active,2025-08-01
SUP000043,Kitchen World,Angela Duncan,contact43@kitchenworld.com,8301540498,New Jenniferport,Georgia,India,3.6,10,Active,2024-01-29
SUP000044,Creative Toys,Veronica Snyder,contact44@creativetoys.com,6382364623,New Emilychester,North Carolina,India,4.5,8,Active,2024-02-25
SUP000045,Fun Factory,Lisa Fry,contact45@funfactory.com,0080593824,Torresville,Louisiana,India,3.6,19,Active,2025-06-01
SUP000046,Natural Care,John Rosales,contact46@naturalcare.com,6256874087,Port Melissahaven,New Mexico,India,4.5,15,Active,2025-12-07
SUP000047,Beauty World,Ryan Green,contact47@beautyworld.com,7831192010,Port Diana,Idaho,India,3.6,16,Active,2024-01-01
SUP000048,Prime Furniture,Gwendolyn Washington,contact48@primefurniture.com,7358872310,South Rebeccaborough,Utah,India,4.0,20,Active,2024-11-30
SUP000049,Natural Care,Cody Petersen,contact49@naturalcare.com,0350467223,Lake Richardburgh,Arkansas,India,3.7,20,Active,2023-10-29
SUP000050,Vision Circuits,Valerie Tran,contact50@visioncircuits.com,1400659836,West Dylanberg,Colorado,India,4.2,20,Inactive,2025-07-10
